         891256 function calls (890504 primitive calls) in 2.705 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12000    0.007    0.000    0.020    0.000 cursors.py:106(nextset)
    12000    0.007    0.000    0.009    0.000 cursors.py:135(mogrify)
    12000    0.020    0.000    2.397    0.000 cursors.py:151(execute)
        1    0.000    0.000    0.003    0.003 cursors.py:2(<module>)
        1    0.000    0.000    0.000    0.000 cursors.py:21(Cursor)
    12000    0.024    0.000    2.348    0.000 cursors.py:324(_query)
    12000    0.007    0.000    0.008    0.000 cursors.py:332(_clear_result)
    12000    0.020    0.000    0.033    0.000 cursors.py:341(_do_get_result)
    12000    0.008    0.000    0.008    0.000 cursors.py:355(_show_warnings)
        1    0.000    0.000    0.000    0.000 cursors.py:386(DictCursorMixin)
        1    0.000    0.000    0.000    0.000 cursors.py:40(__init__)
        1    0.000    0.000    0.000    0.000 cursors.py:410(DictCursor)
        1    0.000    0.000    0.000    0.000 cursors.py:414(SSCursor)
        1    0.000    0.000    0.000    0.000 cursors.py:535(SSDictCursor)
    48000    0.014    0.000    0.014    0.000 cursors.py:71(_get_db)
    12000    0.009    0.000    0.013    0.000 cursors.py:89(_nextset)
        1    0.000    0.000    0.000    0.000 datetime.py:1034(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1059(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1381(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1389(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1991(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2014(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:262(_check_int_field)
        5    0.000    0.000    0.000    0.000 datetime.py:279(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:292(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:309(_check_tzinfo_arg)
        1    0.000    0.000    0.000    0.000 datetime.py:337(timedelta)
        9    0.000    0.000    0.000    0.000 datetime.py:356(__new__)
        3    0.000    0.000    0.000    0.000 datetime.py:41(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:46(_days_in_month)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:531(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:659(date)
        2    0.000    0.000    0.000    0.000 datetime.py:689(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:964(tzinfo)
        1    0.000    0.000    0.004    0.004 decimal.py:2(<module>)
       11    0.000    0.000    0.000    0.000 enum.py:114(__prepare__)
       11    0.001    0.000    0.002    0.000 enum.py:124(__new__)
       11    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
       11    0.000    0.000    0.000    0.000 enum.py:160(<setcomp>)
       35    0.000    0.000    0.000    0.000 enum.py:181(<genexpr>)
      124    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
      912    0.000    0.000    0.004    0.000 enum.py:267(__call__)
      149    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
       12    0.000    0.000    0.000    0.000 enum.py:312(__getattr__)
       11    0.000    0.000    0.000    0.000 enum.py:337(__members__)
      203    0.000    0.000    0.000    0.000 enum.py:353(__setattr__)
      148    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
       10    0.000    0.000    0.003    0.000 enum.py:366(_create_)
       32    0.000    0.000    0.000    0.000 enum.py:419(_get_mixins_)
        1    0.000    0.000    0.000    0.000 enum.py:43(_make_class_unpicklable)
       11    0.000    0.000    0.000    0.000 enum.py:464(_find_new_)
      902    0.000    0.000    0.001    0.000 enum.py:517(__new__)
       33    0.000    0.000    0.000    0.000 enum.py:594(name)
        2    0.000    0.000    0.000    0.000 enum.py:599(value)
       10    0.000    0.000    0.004    0.000 enum.py:604(_convert)
       10    0.000    0.000    0.001    0.000 enum.py:625(<listcomp>)
      122    0.000    0.000    0.000    0.000 enum.py:630(<lambda>)
       11    0.000    0.000    0.000    0.000 enum.py:65(__init__)
      148    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
        2    0.000    0.000    0.000    0.000 enum.py:760(_missing_)
        2    0.000    0.000    0.000    0.000 enum.py:767(_create_pseudo_member_)
       35    0.000    0.000    0.000    0.000 enum.py:797(__or__)
      415    0.001    0.000    0.002    0.000 enum.py:803(__and__)
       11    0.000    0.000    0.000    0.000 enum.py:822(_high_bit)
        2    0.000    0.000    0.000    0.000 enum.py:839(_decompose)
        2    0.000    0.000    0.000    0.000 enum.py:857(<listcomp>)
        5    0.000    0.000    0.000    0.000 enum.py:868(<lambda>)
       15    0.000    0.000    0.000    0.000 enum.py:874(_power_of_two)
        1    0.000    0.000    0.001    0.001 err.py:1(<module>)
        1    0.000    0.000    0.000    0.000 err.py:10(Warning)
        1    0.000    0.000    0.000    0.000 err.py:15(Error)
        1    0.000    0.000    0.000    0.000 err.py:20(InterfaceError)
        1    0.000    0.000    0.000    0.000 err.py:25(DatabaseError)
        1    0.000    0.000    0.000    0.000 err.py:30(DataError)
        1    0.000    0.000    0.000    0.000 err.py:36(OperationalError)
        1    0.000    0.000    0.000    0.000 err.py:44(IntegrityError)
        1    0.000    0.000    0.000    0.000 err.py:50(InternalError)
